,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,competitors
116,8,Alcoholic Drinks,13,1,Total Volume,Constellation Brands Inc,1000 litres,2021,31-12-21,9,2303541.615,rest of the competitors
117,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2017,31-12-17,5,1582253.627,rest of the competitors
118,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2018,31-12-18,6,1635442.111,rest of the competitors
119,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2019,31-12-19,7,1662977.692,rest of the competitors
120,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2020,31-12-20,8,1913559.748,rest of the competitors
121,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2021,31-12-21,9,2177162.971,rest of the competitors
122,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2017,31-12-17,5,1750933.458,rest of the competitors
123,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2018,31-12-18,6,1842218.732,rest of the competitors
124,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2019,31-12-19,7,1769724.406,rest of the competitors
125,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2020,31-12-20,8,1740416.722,rest of the competitors
126,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2021,31-12-21,9,1733730.953,rest of the competitors
127,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2017,31-12-17,5,1298701.231,rest of the competitors
128,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2018,31-12-18,6,1339999.961,rest of the competitors
129,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2019,31-12-19,7,1396799.955,rest of the competitors
130,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2020,31-12-20,8,1527453.336,rest of the competitors
131,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2021,31-12-21,9,1654317.89,rest of the competitors
132,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2017,31-12-17,5,1489940.538,rest of the competitors
133,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2018,31-12-18,6,1629510.855,rest of the competitors
134,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2019,31-12-19,7,1601521.877,rest of the competitors
135,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2020,31-12-20,8,1568590.103,rest of the competitors
136,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2021,31-12-21,9,1574269.942,rest of the competitors
137,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2017,31-12-17,5,2033004.838,rest of the competitors
138,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2018,31-12-18,6,1840203.488,rest of the competitors
139,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2019,31-12-19,7,1533329.993,rest of the competitors
140,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2020,31-12-20,8,1489012.658,rest of the competitors
141,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2021,31-12-21,9,1481195.742,rest of the competitors
142,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2017,31-12-17,5,1672663.711,rest of the competitors
143,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2018,31-12-18,6,1679903.232,rest of the competitors
144,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2019,31-12-19,7,1571970.234,rest of the competitors
145,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2020,31-12-20,8,1465432.566,rest of the competitors
146,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2021,31-12-21,9,1435917.4,rest of the competitors
147,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2017,31-12-17,5,1239484.205,rest of the competitors
148,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2018,31-12-18,6,1255419.627,rest of the competitors
149,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2019,31-12-19,7,1259301.769,rest of the competitors
150,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2020,31-12-20,8,1266592.758,rest of the competitors
151,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2021,31-12-21,9,1282895.178,rest of the competitors
152,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2017,31-12-17,5,1194108.747,rest of the competitors
153,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2018,31-12-18,6,1271330.155,rest of the competitors
154,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2019,31-12-19,7,1306249.574,rest of the competitors
