Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",3730123.38
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2018,"Monday, 31 December 2018",3811532.919
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2019,"Tuesday, 31 December 2019",3827867.144
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2020,"Thursday, 31 December 2020",3477529.9340000004
4,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2021,"Friday, 31 December 2021",3490710.7580000004
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2007,"Monday, 31 December 2007",4468827.07
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2008,"Wednesday, 31 December 2008",4628663.923
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2009,"Thursday, 31 December 2009",4895915.203
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2010,"Friday, 31 December 2010",5110190.402
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2011,"Saturday, 31 December 2011",5235445.565
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2012,"Monday, 31 December 2012",5480196.9
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2013,"Tuesday, 31 December 2013",5627011.55
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2014,"Wednesday, 31 December 2014",5505369.141
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2015,"Thursday, 31 December 2015",5646076.842999999
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2016,"Saturday, 31 December 2016",5800711.599
5,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,1000 litres,2017,"Sunday, 31 December 2017",5894056.0139999995
